epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,train/loss_epoch,train/loss_step,train/masked_tokens,train/variance_explained,val/effective_rank,val/loss,val/masked_tokens,val/rank_ceiling,val/rank_fraction,val/variance_explained
,8.547023324881453e-06,8.547023324881453e-06,2019,,,,,,,,,,
56,,,2019,,0.8524487018585205,,,,,,,,
,8.236244710428469e-06,8.236244710428469e-06,2039,,,,,,,,,,
56,,,2039,,0.8430080413818359,,,,,,,,
56,,,2051,,,,,6.0,0.878655731678009,144.0,21.0,0.2857142984867096,0.12134426832199097
56,,,2051,0.7706576585769653,,144.0,0.22934232652187347,,,,,,
,7.929186556776054e-06,7.929186556776054e-06,2059,,,,,,,,,,
57,,,2059,,0.7686482071876526,,,,,,,,
,7.626003476951627e-06,7.626003476951627e-06,2079,,,,,,,,,,
57,,,2079,,0.7643916010856628,,,,,,,,
57,,,2087,,,,,6.0,0.8670914173126221,144.0,21.0,0.2857142984867096,0.13290856778621674
57,,,2087,0.7706891894340515,,144.0,0.22931085526943207,,,,,,
,7.326848132766219e-06,7.326848132766219e-06,2099,,,,,,,,,,
58,,,2099,,0.8547191023826599,,,,,,,,
,7.031871157944703e-06,7.031871157944703e-06,2119,,,,,,,,,,
58,,,2119,,0.7666376233100891,,,,,,,,
58,,,2123,,,,,6.0,0.8707655072212219,144.0,21.0,0.2857142984867096,0.12923447787761688
58,,,2123,0.7694244980812073,,144.0,0.2305755913257599,,,,,,
,6.741221082277125e-06,6.741221082277125e-06,2139,,,,,,,,,,
59,,,2139,,0.7227332592010498,,,,,,,,
,6.455044256829506e-06,6.455044256829506e-06,2159,,,,,,,,,,
59,,,2159,,0.7995903491973877,,,,,,,,
59,,,2159,,,,,6.0,0.8649300336837769,144.0,21.0,0.2857142984867096,0.13506998121738434
59,,,2159,0.769768476486206,,144.0,0.23023170232772827,,,,,,
,6.173484780251674e-06,6.173484780251674e-06,2179,,,,,,,,,,
60,,,2179,,0.8060510754585266,,,,,,,,
60,,,2195,,,,,6.0,0.865115225315094,144.0,21.0,0.2857142984867096,0.13488484919071198
